UserID,Username,Password,Email,Phone,IsAdmin
0,Putu Argya,AdminPass,ArgyaAdmin@hotel.com,081939237849,Yes
1,Argya,PASSWORDWOW,Argya@gmail.com,0888129399,No
2,Faizal,AdminPass2,FaizalAdmin@Hotel.com,08881288813,Yes
3,Zidan,ZidanPass,Alzidan123@gmail.com,1234555678,No
4,Rafi,RafiPass123,rafimalik@gmail.com,2223331234,No
6,Farrel,fofogiePass,farrellfofogie@gmail.com,00012245963,No
7,Frederick,ErickPass,FrederickOcto@gmail.com,99912345678,No
8,Rey,JapanPass,ReyHajinomoto@gmail.com,9454812345,No
9,Rakha,RakhaPass,rakha@gmail.com,33344455566,No
10,Robbie,RobbiePass67,Robbie67@gmail.com,676767676767,No
11,Anita,fuckfarrell123,anita123@gmail.com,2324411004,No
12,Axella,AxellaPass12345,Axella123@gmail.com,888111222333,No
13,Jauna,JaunaPass,Jauna@gmail.com,222333444555,No
14,Nawra,NawraAUSPASS,nawraAUS@gmail.com,9991244456,No
16,Admin,AdminPassword,admin@admin.com,9990002222,Yes
